run_tag,lambda_gb,g2,selfinteraction,a_mg,b_mg,chi0,coupling,perturbation,width,T,num_points_t,r_max,min_dr,max_dr,num_grid_points,wall_time_s,solver_success,t_crash,solver_message,has_solution,has_diagnostics,has_eft_diagnostics,size_bytes
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g218,2.0,18.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11451.319210290909,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g22,2.0,2.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11482.099130153656,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,2.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,16243.878893852234,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g24,2.0,4.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11507.489364147186,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g26,2.0,6.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11430.291410684586,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g28,2.0,8.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11464.80839395523,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.1_R3_dr0.0416667_quadratic_0_g20,2.0,0.0,0.08,0.0,0.0,0.15,quadratic_0,-0.1,3.0,800.0,1000,150,0.041666666666666664,2,220,11408.22648358345,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,90572373
lgb2_mu0.08_a0_b0_amp-0.5_R3_dr0.0416667_quadratic_0_g20,2.0,0.0,0.08,0.0,0.0,0.15,quadratic_0,-0.5,3.0,800.0,1000,150,0.041666666666666664,2,220,911.4490451812744,False,0.21475725150015199,Required step size is less than spacing between numbers.,True,True,False,45437
lgb3.0_mu0.08_a0.0_b0.0_amp-0.02_R3.0_dr0.041666666666666664_linear,3.0,,0.08,0.0,0.0,0.15,linear,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,14715.72019290924,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813421
lgb3.0_mu0.08_a0.0_b0.0_amp-0.02_R3.0_dr0.041666666666666664_quadratic_0,3.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,13871.560711860657,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,90572129
lgb3.0_mu0.08_a0.0_b0.0_amp-0.05_R3.0_dr0.041666666666666664_quadratic_0,3.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.05,3.0,800.0,1000,150,0.041666666666666664,2,220,14548.910860061646,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813441
lgb3.0_mu0.08_a0.0_b0.0_amp-0.1_R3.0_dr0.041666666666666664_quadratic_0,3.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.1,3.0,800.0,1000,150,0.041666666666666664,2,220,14602.665613174438,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813441
lgb3.0_mu0.08_a0.0_b0.0_amp-0.5_R3.0_dr0.041666666666666664_quadratic_0,3.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.5,3.0,800.0,1000,150,0.041666666666666664,2,220,68.01684331893921,False,0.7643450174455864,Required step size is less than spacing between numbers.,True,True,False,45193
lgb3.0_mu0.08_a0.0_b0.0_amp-1.0_R3.0_dr0.041666666666666664_quadratic_0,3.0,,0.08,0.0,0.0,0.15,quadratic_0,-1.0,3.0,800.0,1000,150,0.041666666666666664,2,220,612.4872834682465,False,0.19720256121947474,Required step size is less than spacing between numbers.,True,True,False,45193
lgb3.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625,3.0,0.0001,0.08,0.2,0.4,0.15,quadratic,-0.02,3,800.0,1000,150,0.0625,2,216,366.98211789131165,False,20.955847842011423,Required step size is less than spacing between numbers.,True,True,False,856613
lgb3.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_linear,3.0,,0.08,0.2,0.4,0.15,linear,-0.02,3,800.0,1000,150,0.0625,2,216,941.0754907131195,False,3.1726355708883593,Required step size is less than spacing between numbers.,True,True,False,138205
lgb3.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,3.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,11173.592119455338,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb3.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_50,3.0,,0.08,0.2,0.4,0.15,quadratic_50,-0.02,3,800.0,1000,150,0.0625,2,216,9546.845030784607,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780883
lgb3.0_mu0.08_a0.2_b0.4_amp-0.05_R3_dr0.0625_quadratic_0,3.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.05,3,800.0,1000,150,0.0625,2,216,9089.887611865997,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb3_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,3.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,16261.624992609024,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb4.0_mu0.08_a0.0_b0.0_amp-0.02_R3.0_dr0.041666666666666664_linear,4.0,,0.08,0.0,0.0,0.15,linear,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,19686.98884320259,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813421
lgb4.0_mu0.08_a0.0_b0.0_amp-0.02_R3.0_dr0.041666666666666664_quadratic_0,4.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,16878.425709962845,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,90572129
lgb4.0_mu0.08_a0.0_b0.0_amp-0.05_R3.0_dr0.041666666666666664_quadratic_0,4.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.05,3.0,800.0,1000,150,0.041666666666666664,2,220,14892.287536621094,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813441
lgb4.0_mu0.08_a0.0_b0.0_amp-0.1_R3.0_dr0.041666666666666664_quadratic_0,4.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.1,3.0,800.0,1000,150,0.041666666666666664,2,220,14608.315786838531,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813441
lgb4.0_mu0.08_a0.0_b0.0_amp-0.5_R3.0_dr0.041666666666666664_quadratic_0,4.0,,0.08,0.0,0.0,0.15,quadratic_0,-0.5,3.0,800.0,1000,150,0.041666666666666664,2,220,70.56545233726501,False,0.766708051206289,Required step size is less than spacing between numbers.,True,True,False,45193
lgb4.0_mu0.08_a0.0_b0.0_amp-1.0_R3.0_dr0.041666666666666664_quadratic_0,4.0,,0.08,0.0,0.0,0.15,quadratic_0,-1.0,3.0,800.0,1000,150,0.041666666666666664,2,220,412.70484137535095,False,0.23593484466664083,Required step size is less than spacing between numbers.,True,True,False,45193
lgb4.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625,4.0,,0.08,0.2,0.4,0.15,quadratic,-0.02,3,800.0,1000,150,0.0625,2,216,9722.088598489761,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780871
lgb4.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_linear,4.0,,0.08,0.2,0.4,0.15,linear,-0.02,3,800.0,1000,150,0.0625,2,216,148.2140896320343,False,3.088389296925658,Required step size is less than spacing between numbers.,True,True,False,138205
lgb4.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,4.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,9350.016586065292,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb4.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_50,4.0,,0.08,0.2,0.4,0.15,quadratic_50,-0.02,3,800.0,1000,150,0.0625,2,216,10194.825060367584,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780883
lgb4.0_mu0.08_a0.2_b0.4_amp-0.05_R3_dr0.0625_quadratic_0,4.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.05,3,800.0,1000,150,0.0625,2,216,9098.725638151169,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g210,4.0,10.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11503.934331178665,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g212,4.0,12.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11676.56280374527,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g214,4.0,14.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11474.998907089233,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g216,4.0,16.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11732.430945396423,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g218,4.0,18.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11340.258022069931,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g22,4.0,2.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11458.183892011642,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,4.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,14849.980445623398,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g24,4.0,4.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11552.228181123734,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g26,4.0,6.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11556.431202888489,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g28,4.0,8.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11758.140597581863,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.1_R3_dr0.0416667_quadratic_0_g20,4.0,0.0,0.08,0.0,0.0,0.15,quadratic_0,-0.1,3.0,800.0,1000,150,0.041666666666666664,2,220,11396.71150302887,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb4_mu0.08_a0_b0_amp-0.5_R3_dr0.0416667_quadratic_0_g20,4.0,0.0,0.08,0.0,0.0,0.15,quadratic_0,-0.5,3.0,800.0,1000,150,0.041666666666666664,2,220,252.32408618927002,False,0.11822743999351973,Required step size is less than spacing between numbers.,True,True,False,45437
